CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
F280084: 41 rows
F280087: 21 rows
F280088: 92 rows
F280092: 83 rows
F280098: 64 rows
F280109: 78 rows
F280110: 110 rows
F280126: 47 rows
F280148: 283 rows
F280176: 59 rows
F280178: 60 rows
F280192: 91 rows
F280198: 39 rows
F280220: 81 rows
F280237: 60 rows
F280239: 32 rows
F280241: 45 rows
F280253: 147 rows
F280255: 45 rows
F280258: 55 rows
F280260: 60 rows
F280265: 34 rows
F280272: 41 rows
F281049: 118 rows
F281069: 106 rows
F281074: 54 rows
F281081: 67 rows
F281084: 20 rows
F281097: 29 rows
F281102: 79 rows
F281103: 36 rows
F281110: 82 rows
F281112: 58 rows
F281127: 44 rows
F281135: 38 rows
F281148: 71 rows
F281153: 60 rows
F281156: 68 rows
F281161: 69 rows
F281170: 106 rows
F281174: 70 rows
F281205: 21 rows
F281218: 60 rows
F281222: 71 rows
F281226: 109 rows
F281230: 77 rows
F281239: 73 rows
F281244: 85 rows
F281254: 52 rows
F281264: 64 rows
F281271: 79 rows
F281278: 68 rows
F281288: 80 rows
F293013: 67 rows
F293014: 64 rows
F293028: 48 rows
F293029: 67 rows
F293050: 33 rows
F294006: 47 rows
F294024: 38 rows
F294046: 26 rows
F294066: 45 rows
F294353: 19 rows
F294362: 39 rows
F295009: 44 rows
F295010: 36 rows
F295017: 33 rows
F295058: 23 rows
F295059: 38 rows
F295081: 19 rows
F295339: 154 rows
F296009: 78 rows
F296011: 45 rows
F296037: 34 rows
F296325: 226 rows
F296328: 359 rows
F296329: 321 rows
F296330: 327 rows
F296333: 333 rows
F296334: 212 rows
F296335: 319 rows
F296337: 284 rows
F296338: 357 rows
F296339: 347 rows
F296340: 352 rows
F297027: 153 rows
F297028: 273 rows
F297034: 219 rows
F297035: 182 rows
F297036: 243 rows
F297042: 31 rows
F297051: 45 rows
F297336: 42 rows
F297345: 81 rows
F297352: 78 rows
F298030: 47 rows
F298041: 46 rows
F298050: 43 rows
F298058: 46 rows
F298062: 4 rows
F298329: 85 rows
F298336: 120 rows
F298342: 100 rows
F298352: 110 rows
F298365: 84 rows
F299007: 75 rows
F299013: 74 rows
F299020: 112 rows
F299026: 14 rows
F299028: 94 rows
F299048: 55 rows
F299064: 51 rows
F299336: 105 rows
F299341: 32 rows
F299344: 75 rows
F299351: 25 rows
F299355: 46 rows
F299362: 126 rows
F379151: 102 rows
F379219: 8 rows
F379228: 42 rows
F379252: 48 rows
F379259: 73 rows
F396353: 222 rows
F396355: 260 rows
F396356: 335 rows
F396357: 273 rows
F396358: 274 rows
F396361: 110 rows
F396363: 389 rows
F396366: 282 rows
F397001: 216 rows
F397003: 177 rows
F397005: 260 rows
F397006: 74 rows
F397007: 180 rows
F398208: 206 rows
